Name,Team,Conference,Position,Class,IP,BF,ERA,FIP+,K%-BB%,K%,BB%,HR%
Jonathan Adelmann,Bucknell,Patriot,P,Jr.,35.4,175.0,4.34,135.0,11.06,23.5,12.4,1.71
Everett Garber,Bucknell,Patriot,P,So.,21.0,113.0,5.19,113.0,8.06,19.6,11.5,2.33
Samuel Janik,Bucknell,Patriot,P,So.,21.0,112.0,5.48,107.0,6.19,18.1,11.9,2.61
Hadley Maxwell,Bucknell,Patriot,P,Sr.,23.4,123.0,5.68,104.0,3.2,18.5,15.3,2.4
Luke Meyers,Bucknell,Patriot,P,Fr.,66.2,290.0,4.72,125.0,9.66,18.7,9.0,2.96
AJ Murray,Bucknell,Patriot,P,So.,18.0,107.0,5.94,99.0,7.36,18.8,11.5,2.91
Tre Benjamin,Butler,Big East,P,Sr.,32.0,163.0,5.47,107.0,5.26,16.9,11.7,2.56
Aidan Hatcher,Butler,Big East,P,Jr.,15.2,94.0,6.56,90.0,5.6,16.8,11.2,3.37
Andrew Hendrickx,Butler,Big East,P,Jr.,15.1,99.0,6.16,95.0,6.24,19.7,13.5,2.5
Alex Kanipe,Butler,Big East,P,Sr.,29.2,162.0,5.24,112.0,6.25,17.0,10.7,2.38
Niko Kreuzer,Butler,Big East,P,So.,25.5,130.0,5.99,98.0,3.49,15.5,12.0,3.02
Simon Linde,Butler,Big East,P,Jr.,22.5,127.0,5.77,102.0,4.86,17.0,12.1,2.66
Brett Sherrard,Butler,Big East,P,Jr.,18.4,99.0,5.65,104.0,7.19,18.7,11.5,2.98
Corbin Snyder,Butler,Big East,P,So.,26.2,157.0,6.0,98.0,6.68,18.1,11.4,2.99
Alex Thomas,Butler,Big East,P,Jr.,17.0,106.0,5.98,98.0,5.78,17.9,12.1,2.47
Logan Wiley,Butler,Big East,P,Jr.,46.5,215.0,4.98,118.0,7.46,17.5,10.0,2.55
Brian Yadlon,Butler,Big East,P,Sr.,13.4,82.0,6.18,95.0,2.83,17.9,15.0,2.19
Nick Bonn,Cal Poly,Big West,P,Sr.,41.3,198.0,5.18,114.0,8.86,18.4,9.5,2.88
Troy Cooper,Cal Poly,Big West,P,So.,26.1,123.0,5.08,116.0,7.88,18.3,10.4,2.71
Chris Downs,Cal Poly,Big West,P,Jr.,43.4,192.0,4.21,140.0,9.69,18.5,8.8,1.85
Luke Kalfsbeek,Cal Poly,Big West,P,So.,27.0,132.0,4.98,118.0,9.54,19.5,9.9,2.81
Ethan Marmie,Cal Poly,Big West,P,Jr.,45.3,204.0,5.36,110.0,4.95,16.3,11.3,2.63
Josh Morano,Cal Poly,Big West,P,Jr.,47.2,205.0,4.71,125.0,9.9,19.2,9.3,2.69
