Name,Team,Conference,Position,Class,PA,AVG,OBP,SLG,WOBA,1B,2B,3B,HR,HBP,K%,BB%
Blythe Blakey,Lincoln (MO),GLVC,INF,Jr.,103.0,0.258,0.359,0.404,0.354,16.0,4.0,0.0,3.0,4.0,22.5,10.0
Quentin Jenkins,Lincoln (MO),GLVC,OF,So.,14.0,0.25,0.357,0.333,0.369,2.0,1.0,0.0,0.0,1.0,18.9,10.6
Brody Johns,Lincoln (MO),GLVC,UT,So.,99.0,0.253,0.343,0.379,0.34,15.0,5.0,0.0,2.0,3.0,19.9,9.3
Ryan Lepper,Lincoln (MO),GLVC,UT,So.,77.0,0.258,0.364,0.348,0.35,13.0,3.0,0.0,1.0,3.0,20.5,10.1
Jayden Little,Lincoln (MO),GLVC,INF,Sr.,187.0,0.287,0.374,0.494,0.384,30.0,8.0,1.0,8.0,5.0,23.8,9.4
Felix Marquez,Lincoln (MO),GLVC,OF,Sr.,77.0,0.258,0.364,0.364,0.348,12.0,4.0,0.0,1.0,2.0,19.4,12.2
Chase Morris,Lincoln (MO),GLVC,INF,So.,112.0,0.278,0.395,0.406,0.366,19.0,4.0,1.0,2.0,5.0,19.1,11.4
Ty Ollison,Lincoln (MO),GLVC,C,So.,112.0,0.286,0.375,0.449,0.366,19.0,5.0,1.0,3.0,4.0,17.5,9.0
Jacob Schulte,Lincoln (MO),GLVC,INF,So.,66.0,0.25,0.364,0.357,0.361,10.0,3.0,0.0,1.0,3.0,21.7,11.0
Andy Srebroski IV,Lincoln (MO),GLVC,INF,Sr.,175.0,0.277,0.36,0.361,0.344,33.0,8.0,1.0,1.0,4.0,20.0,9.4
Easton Stuckenschneider,Lincoln (MO),GLVC,C,So.,107.0,0.287,0.374,0.489,0.376,17.0,5.0,1.0,4.0,3.0,17.0,9.6
Tyler Dunmeyer,Georgian Court,CACC,INF,So.,19.0,0.25,0.368,0.312,0.367,3.0,1.0,0.0,0.0,1.0,18.6,11.0
Jack Greenspan,Georgian Court,CACC,OF,Jr.,107.0,0.297,0.402,0.418,0.382,20.0,5.0,0.0,2.0,3.0,17.0,11.8
Zinny Kemahu,Georgian Court,CACC,INF,Jr.,26.0,0.273,0.385,0.455,0.412,4.0,1.0,0.0,1.0,1.0,18.2,11.1
Kody Lewis,Georgian Court,CACC,UT,So.,36.0,0.29,0.389,0.452,0.368,6.0,2.0,0.0,1.0,1.0,17.9,10.2
JP Mahoney,Georgian Court,CACC,OF,So.,15.0,0.231,0.333,0.308,0.369,2.0,1.0,0.0,0.0,0.0,18.8,11.2
Frank Marra,Georgian Court,CACC,INF,Sr.,147.0,0.278,0.381,0.349,0.353,29.0,4.0,1.0,1.0,5.0,15.9,10.6
Colby McMahon,Georgian Court,CACC,UT,Jr.,37.0,0.281,0.378,0.438,0.347,6.0,2.0,0.0,1.0,1.0,24.1,11.0
