Name,Player_ID,#,Team,Conference,Bats,Throws,Position,Class,Height,Hometown
Jonathan Adelmann,100000,17,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,6-7,"Mount Laurel, NJ"
Jaxon Beiswenger,100001,13,Bucknell,Patriot,RIGHT,RIGHT,INF,So.,6-4,"Fargo, ND"
Frankie Bilecki,100002,28,Bucknell,Patriot,LEFT,LEFT,P,So.,6-2,"Chicago, IL"
Deacon Bowne,100003,5,Bucknell,Patriot,RIGHT,RIGHT,C,So.,5-11,"Hamilton Square, NJ"
Garrison Bullock,100004,19,Bucknell,Patriot,RIGHT,RIGHT,C,Jr.,6-2,"Concord, NC"
John Calabrese,100005,41,Bucknell,Patriot,LEFT,LEFT,OF,So.,5-10,"Staten Island, NY"
Michael Chiaravallo,100006,4,Bucknell,Patriot,RIGHT,RIGHT,OF,Jr.,6-0,"Cream Ridge, NJ"
Lleyton Coupe,100007,6,Bucknell,Patriot,LEFT,RIGHT,INF,So.,6-2,"Phoenixville, PA"
Ryan DeLaney,100008,35,Bucknell,Patriot,LEFT,LEFT,P,Sr.,6-1,"Danville, CA"
Ryan Facinelli,100009,12,Bucknell,Patriot,LEFT,RIGHT,INF,Sr.,5-11,"Whitehouse Station, NJ"
Ethan Firestein,100010,22,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-0,"Hollywood, FL"
Billy Fluharty,100011,11,Bucknell,Patriot,RIGHT,RIGHT,OF,Jr.,5-11,"Fredericksburg, VA"
Everett Garber,100012,24,Bucknell,Patriot,RIGHT,RIGHT,P,So.,6-3,"New York, NY"
Braden Green,100013,8,Bucknell,Patriot,RIGHT,RIGHT,INF,Fr.,5-8,"Oak Park, IL"
Tyler Hawkins,100014,30,Bucknell,Patriot,RIGHT,RIGHT,P,So.,6-4,"Santa Ana, CA"
Brady Hoar,100015,31,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-4,"Tampa, FL"
Samuel Janik,100016,36,Bucknell,Patriot,RIGHT,RIGHT,P,So.,5-11,"State College, PA"
Liam Jones,100017,26,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-1,"Alexandria, VA"
Kobe Julks,100018,29,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-4,"Chatham, MA"
Jack Keane,100019,27,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-5,"Arlington, VA"
Ty Lagoni,100020,3,Bucknell,Patriot,RIGHT,RIGHT,INF,Jr.,6-0,"Pittsburgh, PA"
Garrett Mathias,100021,38,Bucknell,Patriot,LEFT,RIGHT,INF,Fr.,5-11,"Philadelphia, PA"
Hadley Maxwell,100022,44,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-3,"Nashville, TN"
Luke Meyers,100023,40,Bucknell,Patriot,RIGHT,RIGHT,P,Fr.,6-0,"Tinton Falls, NJ"
Bryce Mitchell,100024,42,Bucknell,Patriot,RIGHT,RIGHT,P,So.,6-0,"Damascus, MD"
Chris Morabito,100025,10,Bucknell,Patriot,LEFT,RIGHT,OF,Jr.,6-0,"Mc Lean, VA"
AJ Murray,100026,20,Bucknell,Patriot,LEFT,RIGHT,P,So.,6-1,"Arlington, VA"
Mikey Myro,100027,9,Bucknell,Patriot,RIGHT,RIGHT,P,Sr.,6-0,"Orwigsburg, PA"
Luke Nascimento,100028,7,Bucknell,Patriot,RIGHT,RIGHT,C,Jr.,6-0,"Scarsdale, NY"
Daniel Nawrocki,100029,1,Bucknell,Patriot,RIGHT,RIGHT,OF,Fr.,5-9,"Rockville Centre, NY"
Dante Pavone,100030,16,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,6-4,"Hopkinton, MA"
Dylan Radtke,100031,25,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,5-11,"Pompano Beach, FL"
Jake Schultz,100032,21,Bucknell,Patriot,RIGHT,RIGHT,P,Jr.,6-0,"Exton, PA"
Tyler Seidman,100033,23,Bucknell,Patriot,RIGHT,LEFT,P,Fr.,6-2,"Philadelphia, PA"
Zach Selfon,100034,14,Bucknell,Patriot,RIGHT,RIGHT,INF,Jr.,5-9,"Mahwah, NJ"
Andrew Swenson,100035,2,Bucknell,Patriot,RIGHT,RIGHT,UT,Jr.,5-9,"Enola, PA"
Michael Trommer,100036,32,Bucknell,Patriot,LEFT,RIGHT,INF,Sr.,6-2,"Trevose, PA"
David Ayers,100037,2,Butler,Big East,LEFT,RIGHT,UT,Jr.,6-4,"Fishers, IN"
Logan Baker,100038,4,Butler,Big East,RIGHT,RIGHT,INF,Sr.,6-4,"Austin, TX"
Tre Benjamin,100039,33,Butler,Big East,RIGHT,RIGHT,P,Sr.,6-6,"Mundelein, IL"
Grayson Bradberry,100040,30,Butler,Big East,RIGHT,RIGHT,P,Fr.,6-0,"Columbia City, IN"
Caiden Brezinski,100041,34,Butler,Big East,LEFT,LEFT,UT,So.,6-3,"Denver, CO"
Brock Buckley,100042,21,Butler,Big East,RIGHT,RIGHT,P,Sr.,6-4,"Carmel, IN"
Will Burgess,100043,26,Butler,Big East,LEFT,LEFT,UT,Sr.,6-4,"Ashton, MD"
Ian Choi,100044,8,Butler,Big East,RIGHT,RIGHT,INF,Sr.,5-9,"Mount Pleasant, WI"
Alex Christie,100045,25,Butler,Big East,RIGHT,RIGHT,INF,Sr.,6-5,"Greenwood, IN"
Keegan Connors,100046,15,Butler,Big East,LEFT,RIGHT,C,Sr.,5-7,"Carpentersville, IL"
